g,quantity,model,params,loglik,aic,ks,k,n,rank
0.0,global inter-crime,trunc_powerlaw,"trunc PL ($\alpha$=1.03,$\lambda$=13.5)",113630.26852740144,-227256.53705480287,0.24761203356213002,2,44808,1
0.0,global inter-crime,powerlaw,power-law ($\alpha$=1.93),109891.73842967353,-219781.47685934705,0.24761203356016062,1,44808,2
0.0,global inter-crime,lognormal,"lognormal ($\mu$=-3.53,$\sigma$=0.81)",104001.67304497593,-207999.34608995187,0.15635822494247734,2,44808,3
0.0,global inter-crime,weibull,Weibull ($k$=1.27),100679.28733852197,-201354.57467704394,0.14077152400753112,2,44808,4
0.0,global inter-crime,exponential,exp ($\lambda$=24.6),98622.83224902564,-197243.66449805128,0.21774388172959436,1,44808,5
1.0,global inter-crime,trunc_powerlaw,"trunc PL ($\alpha$=0.60,$\lambda$=11.6)",59048.75838850558,-118093.51677701116,0.16321505666308325,2,29648,1
1.0,global inter-crime,lognormal,"lognormal ($\mu$=-3.17,$\sigma$=0.90)",54989.45461877821,-109974.90923755642,0.10650901237881334,2,29648,2
1.0,global inter-crime,powerlaw,power-law ($\alpha$=1.70),53791.401650804226,-107580.80330160845,0.23734997968657295,1,29648,3
1.0,global inter-crime,weibull,Weibull ($k$=1.19),53715.66259721249,-107427.32519442498,0.10200214998658796,2,29648,4
1.0,global inter-crime,exponential,exp ($\lambda$=16.2),53012.92856279836,-106023.85712559673,0.14998181329040206,1,29648,5
3.0,global inter-crime,trunc_powerlaw,"trunc PL ($\alpha$=0.36,$\lambda$=8.81)",29476.693296421734,-58949.38659284347,0.10678423976656119,2,19619,1
3.0,global inter-crime,lognormal,"lognormal ($\mu$=-2.81,$\sigma$=0.98)",27569.842271550802,-55135.684543101605,0.07456551487663618,2,19619,2
3.0,global inter-crime,weibull,Weibull ($k$=1.13),27237.878220387334,-54471.75644077467,0.07294535404380786,2,19619,3
3.0,global inter-crime,exponential,exp ($\lambda$=10.8),26988.613736777304,-53975.22747355461,0.10199405520196891,1,19619,4
3.0,global inter-crime,powerlaw,power-law ($\alpha$=1.56),23937.995733904034,-47873.99146780807,0.2521555203992262,1,19619,5
0.0,per-cell inter-crime,trunc_powerlaw,"trunc PL ($\alpha$=0.81,$\lambda$=0.00681)",-99800.26983096436,199604.53966192872,0.058363963937813235,2,26883,1
0.0,per-cell inter-crime,lognormal,"lognormal ($\mu$=1.42,$\sigma$=2.55)",-101573.56216238915,203151.1243247783,0.08046421654254443,2,26883,2
0.0,per-cell inter-crime,weibull,Weibull ($k$=0.45),-101619.76707513483,203243.53415026967,0.09417848300282178,2,26883,3
0.0,per-cell inter-crime,powerlaw,power-law ($\alpha$=1.17),-113431.61428814985,226865.2285762997,0.2576723873031654,1,26883,4
0.0,per-cell inter-crime,exponential,exp ($\lambda$=0.0301),-121076.87544406828,242155.75088813656,0.3621457609254188,1,26883,5
1.0,per-cell inter-crime,trunc_powerlaw,"trunc PL ($\alpha$=0.51,$\lambda$=0.00681)",-38296.45024682019,76596.90049364038,0.07828119231211306,2,7453,1
1.0,per-cell inter-crime,weibull,Weibull ($k$=0.66),-38599.328439306315,77202.65687861263,0.07996431949167496,2,7453,2
1.0,per-cell inter-crime,lognormal,"lognormal ($\mu$=3.15,$\sigma$=2.00)",-39212.17887303038,78428.35774606076,0.11758901709373748,2,7453,3
1.0,per-cell inter-crime,exponential,exp ($\lambda$=0.0131),-39744.39986871224,79490.79973742447,0.1988641287676492,1,7453,4
1.0,per-cell inter-crime,powerlaw,power-law ($\alpha$=1.16),-44447.82936930333,88897.65873860665,0.28396118613352517,1,7453,5
3.0,per-cell inter-crime,weibull,Weibull ($k$=1.21),-13944.27421487663,27892.54842975326,0.048475528628814435,2,2447,1
3.0,per-cell inter-crime,trunc_powerlaw,"trunc PL ($\alpha$=-0.16,$\lambda$=0.01)",-13975.699832665292,27955.399665330584,0.052490503000223954,2,2447,2
3.0,per-cell inter-crime,exponential,exp ($\lambda$=0.00889),-14004.207151545825,28010.41430309165,0.07830931448395106,1,2447,3
3.0,per-cell inter-crime,lognormal,"lognormal ($\mu$=4.27,$\sigma$=1.20)",-14365.054225953167,28734.108451906333,0.10688894176746505,2,2447,4
3.0,per-cell inter-crime,powerlaw,power-law ($\alpha$=1.15),-17456.4180766584,34914.8361533168,0.43568573217799333,1,2447,5
